,Tach In,Tach Total,Hobbs In,Hobbs Total,Oil - Quarts Added,Oil - Change,Maintenance,Notes: Oil change 1=yes. Goal is to change oil every 35 hours (hobbs). 
,,,,,,,,
12/10/2026,,0.4,,0.6,,,,
12/11/2025,1.2,0.8,1.7,1.1,,,,
12/11/2025,1.4,0.2,1.9,0.2,,,,
12/11/2025,1.6,0.2,2.1,0.2,,,,
12/17/2025,3.3,1.7,4.1,2,0,,,
12/20/2025,8.4,5.1,9.2,5.1,0,,,
12/22/2025,9.0,0.6,9.8,0.6,0,,,
12/23/2025,14.1,5.1,15.4,5.6,0,,,
1/7/2026,15.3,1.2,16.7,1.3,0,,,
1/12/2026,16.4,1.1,18.1,1.4,1,,,
1/12/2026,18.9,2.5,20.9,2.8,0,,,
1/14/2026,19.7,0.8,21.9,1,0,,,
1/30/2026,20.5,0.8,22.8,0.9,0,,,
1/31/2026,22,1.5,24.4,1.6,0,,,
2/3/2026,23.9,1.9,26.4,2,1,,,
2/4/2026,24.4,0.5,27.0,0.6,0,,,
2/4/2026,24.4,0,27,0,,1,"ACA - First oil and filter change, adjust elevator trim, check left rudder pedal linkage, honed out rebreather tube ",
2/4/2026,26.7,2.3,29.2,2.2,0,,,
2/7/2026,27.6,0.9,30.4,1.2,0,,,
2/11/2026,28.8,1.2,31.7,1.3,0,,,
2/14/2026,31.8,3,35.0,3.3,0,,,
2/21/2026,33.2,1.4,36.5,1.5,0,,,
2/23/2026,35.3,2.1,38.9,2.4,0,,,
2/25/2026,37,1.7,40.8,1.9,1,,,
3/3/2026,37.6,0.6,41.5,0.7,0,,,
3/9/2026,38.8,1.2,42.8,1.3,0,,,
3/14/2026,42.4,3.6,46.8,4,0,,,
3/28/2026,43.2,0.8,47.7,0.9,0,,,
3/30/2026,44,0.8,48.6,0.9,0,,,
4/6/2026,46.1,2.1,51.1,2.5,0,,,
4/7/2026,48.7,2.6,54.2,3.1,1,,,
4/8/2026,49.3,0.6,55,0.8,0,,,
4/9/2026,49.9,0.6,55.8,0.8,0,,,
4/10/2026,52,2.1,58.1,2.3,0,,,
4/16/2026,53.3,1.3,59.6,1.5,0,,,
4/21/2026,54.4,1.1,60.8,1.2,0,,,
4/22/2026,56.5,2.1,62.9,2.1,0.8,,,
,56.5,0,62.9,0,,,"ACA - Oil and filter change. Drain gas tanks and lines. Replaced gascolator and fittings. Replaced “t” fitting at header tank. Adjusted front heater vent linkage. Cleaned off 100 LL stain from gascolator leak with acetone and paint. Jerry, will repaint at annual. Removed oil cooler plate.  Adjusted engine 3 clicks more lean ",
4/22/2026,58.7,2.2,65.2,2.3,0,,,
4/28/2026,59.3,0.6,66,0.8,0,,,
,,,,,,,,
,,,,,,,,
TOTAL,,59.3,,66,4.8,,,
